Subject,Style,Trial,Jump Height (Impulse),sqrt JH,Jump Height (Flight),Bodyweight,GRF Impulse (Normalized),Net Impulse (Normalized),Concentric GRF Impulse (Normalized),Concentric Net Impulse (Normalized),GRF_Max (Normalized),Net F_Max (Normalized),GRF at Bottom (Normalized),Average Power (Normalized),Peak Power (Normalized),Depth,Contact Time,RSI (Impulse),RSI (Flight)
6,SF,3,0.279725433,0.528890757,0.31385693,67.88149197,9.08603976,5.21241301,4.190594398,2.356750848,38.97925522,29.17260522,28.8336326,0.029695791,0.050226206,0.358697932,0.395,0.708165654,0.794574506
6,SF,4,0.233451965,0.483168671,0.302791351,67.66915385,9.118910388,5.009924038,4.034692906,2.151816106,29.21597046,19.40932046,27.57238555,0.026330919,0.045922547,0.404932469,0.419,0.557164593,0.72265239
6,SF,5,0.244239241,0.494205667,0.297937059,67.69291223,9.001076774,5.058803474,4.025689338,2.201652438,33.29417994,23.48752994,28.90007145,0.027369441,0.048599582,0.379232593,0.402,0.6075603,0.741136964
6,SS,1,0.291277812,0.539701595,0.308914378,67.71683321,9.457537065,5.260290865,4.577444711,2.390561761,34.94478238,25.13813238,29.30453044,0.029312747,0.050812784,0.365258646,0.428,0.680555635,0.721762566
6,SS,2,0.303741874,0.55112782,0.327651209,67.67152529,9.302200628,5.310894078,4.438985138,2.448235188,31.36149202,21.55484202,29.24509225,0.03070919,0.053409001,0.360040559,0.407,0.74629453,0.805039826
6,SS,3,0.347817739,0.589760747,0.356129721,67.64102527,9.590973709,5.481987359,4.75850571,2.63046266,34.22700929,24.42035929,29.39443913,0.032442975,0.055592654,0.352494311,0.419,0.830113936,0.8499516
6,SS,4,0.353266164,0.594361981,0.356129721,67.60680888,9.385798199,5.502364799,4.699577458,2.640180958,38.24599982,28.43934982,29.70632741,0.033551391,0.056680234,0.313055082,0.396,0.892086274,0.899317476
6,SS,5,0.316500559,0.562583824,0.33146477,67.60618214,8.980283027,5.361629177,4.365007987,2.501744487,39.98746733,30.18081733,30.26779409,0.032736816,0.05602834,0.300359891,0.369,0.857725093,0.898278509
6,ST,1,0.206404611,0.454317742,0.240568157,67.85093436,7.069035151,4.882152201,3.176663697,2.048898947,52.64525881,42.83860881,48.02793109,0.03220748,0.05326707,0.184649597,0.223,0.925581214,1.078780973
6,ST,2,0.200737873,0.448037803,0.252663434,67.95432207,6.874510197,4.854340297,3.027230627,1.987725727,54.35474724,44.54809724,50.4987747,0.033457193,0.057790343,0.177678249,0.206,0.974455697,1.226521524
6,ST,3,0.217242088,0.46609236,0.252663434,67.85611764,7.199634492,4.934298342,3.249823858,2.082832508,50.59028013,40.78363013,46.91485618,0.033065796,0.055817402,0.196993911,0.231,0.940441941,1.093781099
6,ST,4,0.158853859,0.398564749,0.230892671,67.84829868,6.880962295,4.635239445,2.874871792,1.786333642,51.25581728,41.44916728,45.0522719,0.027174172,0.046054274,0.214743082,0.229,0.693684972,1.008264939
6,ST,5,0.222934657,0.472159567,0.249335302,67.78407689,7.795289975,4.961168125,3.609151828,2.108734378,45.84778819,36.04113819,35.60467459,0.028983123,0.049351211,0.233030385,0.289,0.771400198,0.86275191
7,SF,1,0.306286198,0.553431295,0.344335998,79.68433448,9.694861356,5.321095456,4.663684304,2.457188054,27.66428325,17.85763325,24.78341587,0.028516262,0.04945134,0.356549446,0.446,0.686740354,0.772053807
7,SF,2,0.2054034,0.453214519,0.236243424,79.67900553,8.427273665,4.877266365,3.823930569,2.009700319,37.31108314,27.50443314,25.49303906,0.024379493,0.042546243,0.278142795,0.362,0.567412706,0.652606145
7,SF,3,0.195550528,0.442210954,0.229829875,79.93222377,8.476608783,4.828534983,3.843770704,1.970700554,35.24686124,25.44021124,26.00227921,0.023407882,0.041290476,0.279942867,0.372,0.525673462,0.617822245
7,SF,4,0.251571256,0.501568795,0.304011053,79.59110667,8.366833593,5.091412493,3.847629249,2.229531999,39.23579066,29.42914066,30.09896583,0.02961952,0.049264336,0.287993088,0.334,0.753207354,0.910212735
7,SF,5,0.241562407,0.491489987,0.299146955,79.59681166,8.400650868,5.046776568,3.892280903,2.195730453,33.03800674,23.23135674,29.49439746,0.028290419,0.048276391,0.277846727,0.342,0.706322826,0.874698699
7,SS,1,0.269011466,0.518663153,0.320090282,79.59053753,8.511185765,5.167118115,4.015327826,2.299164076,35.06723395,25.26058395,29.20962808,0.030034974,0.04939371,0.26891655,0.341,0.78888993,0.938681178
