,,GRF_1h_(Normalized),GRF_1h_(Normalized),GRF_1l_(Normalized),GRF_1l_(Normalized),GRF_2h_(Normalized),GRF_2h_(Normalized),GRF_2l_(Normalized),GRF_2l_(Normalized),GRF_(Normalized),GRF_(Normalized),GRF_diff_(Normalized),GRF_diff_(Normalized),Impulse_1h_(Normalized),Impulse_1h_(Normalized),Impulse_1l_(Normalized),Impulse_1l_(Normalized),Velocity,Velocity
,,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI
Style,Time,,,,,,,,,,,,,,,,,,
SF,18.0,574.0614615384616,40.9492273080929,566.7528461538461,50.84067803922632,8.535638518403646,0.5716426261398309,6.548980354349674,0.6440817135223798,15.08461887275332,1.0152319070368006,3.506357975283375,0.5280201281491114,421.82166829963154,12.549791713954914,386.0158578275564,11.884702599673654,-2.7547819075639426,0.04371276949829856
SF,19.0,567.2974615384616,38.24145618902643,556.5425384615385,47.61681954536904,8.282978807527774,0.5166235761772343,6.572783832254245,0.6402897927696488,14.85576263978202,1.000549174151303,3.2732903130339217,0.43649256519625745,422.39234776116996,12.554352238948049,386.5775055198641,11.898131671008368,-2.749618366807675,0.04366804979730592
SF,20.0,561.0113076923077,37.664732772412364,544.9383846153846,46.158334353655654,8.16178286215937,0.5253437890033544,6.442476689714824,0.6071389008403785,14.604259551874195,0.9963301985470739,3.168698111809806,0.38612059940569937,422.95650214578535,12.55941501264308,387.12824598140253,11.909916610041822,-2.7446950057118467,0.04363970114054572
SF,21.0,566.8537692307692,40.227363378667334,535.8935384615385,43.77800038744261,8.162419815685412,0.519899938926523,6.351381119005929,0.5775659213050038,14.513800934691343,0.9757207996046218,2.9657559896495957,0.3754070943047708,423.5204346842469,12.56568425579392,387.66866194294096,11.920179809971392,-2.7399426254685637,0.04362429204014033
SF,22.0,581.474076923077,43.26832465811183,534.593,42.447482057558524,8.21994170646033,0.5137499426351572,6.402895007138702,0.5636460212322759,14.622836713599034,0.9681342593041468,2.8318058221675506,0.35750307113265434,424.0945986073238,12.573264952206808,388.2039052121717,11.930597031715656,-2.7351809566444185,0.04361637271481527
SF,23.0,598.143,45.269106646712835,544.5533846153846,45.270621665452694,8.334501261679065,0.5379385680577567,6.578182794637282,0.5713177389389518,14.912684056316348,1.011484717527612,2.7097058773504923,0.34619146261352485,424.68440714578537,12.582061715097675,388.74347840447945,11.942692115920552,-2.7302198462594607,0.04361736270803517
SF,24.0,610.3308461538461,45.11295648426253,560.2059230769231,48.13562831711715,8.443189050151615,0.5568931422183123,6.787479691281093,0.5676091350948418,15.230668741432707,1.0297097335388945,2.704010018553848,0.33045670763859425,425.28864406886225,12.592261915170825,389.29585805832556,11.956693678612467,-2.7249548198605864,0.043638828961012635
SF,25.0,618.0314615384615,44.20996297860437,577.1225384615385,49.747133044716975,8.563850920826141,0.5519581366086778,6.954897345666507,0.565959351488484,15.518748266492647,1.0170861257810573,2.7511760989260816,0.3343998667752105,425.90282522270843,12.604081411250638,389.8645222890948,11.972143254075105,-2.7193867613566236,0.04369280272489834
SF,26.0,625.5908461538461,44.42186404256017,591.6402307692307,49.849136758140226,8.674195197029738,0.5274459752937802,7.112023895504699,0.5838410680760845,15.786219092534436,0.9995148785079331,2.8855545475246944,0.3414815798402265,426.5246363765546,12.617305395872298,390.4489036737102,11.988877411843061,-2.7135409276771103,0.043781093536153524
SF,27.0,633.1401538461539,45.49417879213588,606.0477692307693,51.170951539579185,8.82947721276283,0.5217707705905541,7.221271209481773,0.6050913978991946,16.050748422244602,1.0202639755598721,2.8404688656830865,0.34890216729124435,427.15400187655456,12.631658870517487,391.0477476737102,12.00716640726046,-2.7074290939197203,0.043899097925516085
SF,28.0,639.506923076923,46.52118999044914,621.532,52.909304920944365,9.045512266607659,0.5349532838059297,7.265090846772734,0.607662199546815,16.31060311338039,1.0540491422276843,2.7046214762097036,0.3370019616801921,427.7903254150161,12.64704934712688,391.6615375583256,12.027755166196386,-2.7010550681519083,0.044036519242766636
SF,29.0,643.632076923077,46.48627444650271,633.919,54.05670918998046,9.22281928256311,0.5523102733445008,7.273235691351747,0.5847931164141849,16.49605497391486,1.0600026075788174,2.6466060288240927,0.32214876425853145,428.43189491501613,12.663622556863347,392.28926305832556,12.051146156404295,-2.6944583891082603,0.04417893813627616
SF,30.0,650.5309230769232,46.760909855611914,644.526076923077,54.52902948986205,9.365219787677171,0.5587859247520048,7.318923520291717,0.5622003747877754,16.68414330796889,1.0459803445875662,2.6155246098869753,0.3275970560655838,429.0789764150161,12.68194634237245,392.92848559678714,12.077280605799373,-2.687674939967319,0.04432074274293816
SF,31.0,664.6064615384615,48.848360103991205,658.4253846153846,55.95746153497765,9.532600261545552,0.5691653355234476,7.4645721779012275,0.5619539435398154,16.99717243944678,1.0525470231285818,2.6534249665899208,0.33779455198467734,429.7365451073238,12.702658538032699,393.57996132755636,12.10597109425117,-2.6806409320936107,0.04446521942121073
SF,32.0,683.2419230769231,52.429375379207634,673.1256153846153,58.53333913031481,9.743797516531572,0.5902422387341948,7.628828277251684,0.5754647964978035,17.372625793783254,1.0859966526556735,2.7364284356497848,0.34198811240242694,430.41046929963153,12.726094418091543,394.24573682755636,12.137120785972211,-2.6732626829769957,0.04461858551960375
SF,33.0,702.5165384615384,55.967861032439316,689.6891538461538,61.99895913440413,10.00673404895665,0.620721980642624,7.775528623235285,0.5909382495068747,17.782262672191933,1.1307060810038747,2.8382360243498117,0.3556217652457798,431.10334853040075,12.752252430035359,394.92714421217175,12.170791350229914,-2.665491888744008,0.044785532217637605
SF,34.0,723.0533846153846,59.004327517402984,710.0725384615386,65.63898188594769,10.33681867106819,0.6528550446011937,7.9238711506971375,0.6018565164576266,18.26068982176533,1.166211753412579,3.042970358197276,0.3812011899256533,431.8161334919392,12.781082916972286,395.62702505832556,12.207187322302667,-2.6572770624970294,0.0449616914427525
